"행정구역","2024년04월_총인구수","2024년04월_세대수","2024년04월_세대당 인구","2024년04월_남자 인구수","2024년04월_여자 인구수","2024년04월_남여 비율"
"전국  (1000000000)","51,285,153","24,021,667","          2.13","25,541,855","25,743,298","          0.99"
"서울특별시  (1100000000)","9,378,269","4,486,137","          2.09","4,532,115","4,846,154","          0.94"
"부산광역시  (2600000000)","3,284,947","1,569,293","          2.09","1,600,234","1,684,713","          0.95"
"대구광역시  (2700000000)","2,368,670","1,098,201","          2.16","1,163,001","1,205,669","          0.96"
"인천광역시  (2800000000)","3,008,484","1,361,550","          2.21","1,504,078","1,504,406","          1.00"
"광주광역시  (2900000000)","1,414,862","656,984","          2.15","698,628","716,234","          0.98"
"대전광역시  (3000000000)","1,441,272","684,540","          2.11","718,797","722,475","          0.99"
"울산광역시  (3100000000)","1,101,059","492,911","          2.23","566,255","534,804","          1.06"
"세종특별자치시  (3600000000)","387,726","161,975","          2.39","193,099","194,627","          0.99"
"경기도  (4100000000)","13,648,156","6,010,717","          2.27","6,863,252","6,784,904","          1.01"
"강원특별자치도  (5100000000)","1,523,661","763,568","          2.00","766,338","757,323","          1.01"
"충청북도  (4300000000)","1,590,854","782,921","          2.03","809,485","781,369","          1.04"
"충청남도  (4400000000)","2,133,828","1,044,592","          2.04","1,094,336","1,039,492","          1.05"
"전북특별자치도  (5200000000)","1,748,047","863,318","          2.02","870,133","877,914","          0.99"
"전라남도  (4600000000)","1,797,199","912,121","          1.97","906,512","890,687","          1.02"
"경상북도  (4700000000)","2,546,120","1,288,344","          1.98","1,287,249","1,258,871","          1.02"
"경상남도  (4800000000)","3,239,224","1,530,698","          2.12","1,631,669","1,607,555","          1.02"
"제주특별자치도  (5000000000)","672,775","313,797","          2.14","336,674","336,101","          1.00"
