,title,category,content
0,D.C.5 ~다 카포 5~,D.C. ~다 카포~ 시리즈2023년 Windows 게임2023년 PlayStation 4 게임2023년 Nintendo Switch 게임전연령 미소녀 게임에로게," 소년은, 운명과 만난다-少年は、運命に出会う-D.C. ~다 카포~ 시리즈 정규 5번째 시리즈를 설명하는 문서이다. 배경은 전작 다카포4와 동일한 카가미 섬. 전작처럼 전연령판으로 먼저 발매된다.2024년 9월 18금판 발매예정"
1,아싸인 내게 벌칙 게임으로 고백해 온 갸루가 아무리 봐도 나한테 반한 것 같다/등장인물,아싸인 내게 벌칙 게임으로 고백해 온 갸루가 아무리 봐도 나한테 반한 것 같다라이트 노벨/등장인물,아싸인 내게 벌칙 게임으로 고백해 온 갸루가 아무리 봐도 나한테 반한 것 같다의 등장인물에 대한 문서.
2,브루노 발터,독일의 지휘자1876년 출생1962년 사망베를린 출신 인물유대인,"""그는 매우 낭만적입니다. 정말이에요. 그는 도덕주의자이지만, 나는 그렇지 않아요. 확실해요.""오토 클렘페러[1]독일 출신의 유대인 지휘자이다. 20세기의 거장 지휘자 중 한 명으로 꼽힌다."
3,호시노 겐 불륜 억측 사건,2024년/사건사고레이와 시대/인터넷 사건 사고X(SNS)/사건사고일본의 인물별 사건사고호시노 겐아라가키 유이,"'일본의 음악가, 배우, 작가인 호시노 겐이 아라가키 유이를 놔두고 일본의 아나운서인 하야시다 리사와 불륜을 했고, 두 사람은 사실상의 이혼 상태에 가깝다'며, SNS 및 여러 커뮤니티 상에서 사이버 렉카 및 네티즌들에 의해 퍼진 불륜 억측 및 허위폭로 사건을 서술한 문서."
4,앙코(명조: 워더링 웨이브),명조: 워더링 웨이브/등장인물," ""아주 오래전에... 그늘이가 앙코한테 새로운 곳을 알려줬어! 뭐해, 빨리 와~ 이제 앙코랑 같이 여행 가보자!""검은 해안의 객경인 앙코, 조금은 기괴하고 활발하며 환상과 동화로 우정과 모험을 묘사하는 것을 좋아한다.그녀의 옆에는 그늘이와 구름이가 함께 하는데 그들은 앙코의 제일 친한 친구이자 수호자이다.앙코는 그늘이, 구름이와 함께 온 세상을 누빈다! 《명조: 워더링 웨이브》의 플레이어블 캐릭터."
5,HELLDIVERS 2/시나리오,HELLDIVERS 2게임 스토리,HELLDIVERS 2에서 진행된 시나리오 전개에 대한 사항을 서술한다.[1]
6,김희영(1975),1975년 출생한국계 미국인리라초등학교 출신이화여자대학교 대학원 출신,한국계 미국인 기업인으로 포도뮤지엄 총괄디렉터 및 티앤씨재단 이사장이자 최태원 SK 회장의 동거인.
7,대한민국 여권,여권대한민국의 외교한국조폐공사,"대한민국 국적자를 대상으로, 한국조폐공사에서 제작하고 대한민국 외교부에서 발행하는 여권이다.북한을 제외한 지구상의 모든 국가 및 지역에서 통한다. 북한에서는 대한민국 여권을 인정하지 않기 때문에 북한을 방문할 때는 방문증명서를 사용한다. 신분증으로 사용할 수 있지만, 주민등록증과 운전면허증의 존재로 인해 잘 사용하지 않는다.여권법[2]에 따라 대한민국 국민이 외국을 여행하려면 반드시 소지하여야 한다. 21세기에 들어서 주변국 국민에 대해 여권 말고도 신분증을 폭넓게 인정하는 국가들이 많아졌지만 대한민국에서 발행하는 ICAO Doc 9303에 따르는 신분증은 여권이 유일하다."
8,도멘아도니스,농업,"지중해 남부의 숨겨진 보물과 같은 아름다운 올리브의 나라 튀니지 북서쪽 Testour 해발 700m 사람들이 발길이 닿지 않는 청정한 무공 자연환경을 자랑하는 도멘아도니스 올리브농장.[1]도멘아도니스는 도멘Domaine은 프랑스어로 농업, 아도니스는 Adonis는 그리스 신화의 [아도니스]를 상징하며 농업의 신이라는 뜻을 가지고 있다. 아도니스는 [아프로디테]와 페르세포네의 사랑을 받은 신으로 죽음과 부활을 상징하며, 셈어로는 군주, 주인이라는 뜻을 가지고 있으며 히브리어로는 나의 신을 의미한다. 힘들었던 역사 속에서 올리브나무는 튀니지인들에게 아낌없이 주는 나무이자 삶의 동반자를 의미하며 튀니지 그 자체이다."
9,용접공 토일렛(Skibidi Toilet Multiverse),스키비디 토일렛(Skibidi Toilet Multiverse),Skibidi Toilet Multiverse의 스키비디 토일렛 진영의 개체로 원작의 중형 연구원 토일렛과 비슷한 포지션의 개체들이다.
10,대한민국 여권,여권대한민국의 외교한국조폐공사,"대한민국 국적자를 대상으로, 한국조폐공사에서 제작하고 대한민국 외교부에서 발행하는 여권이다.북한을 제외한 지구상의 모든 국가 및 지역에서 통한다. 북한에서는 대한민국 여권을 인정하지 않기 때문에 북한을 방문할 때는 방문증명서를 사용한다. 신분증으로 사용할 수 있지만, 주민등록증과 운전면허증의 존재로 인해 잘 사용하지 않는다.여권법[2]에 따라 대한민국 국민이 외국을 여행하려면 반드시 소지하여야 한다. 21세기에 들어서 주변국 국민에 대해 여권 말고도 신분증을 폭넓게 인정하는 국가들이 많아졌지만 대한민국에서 발행하는 ICAO Doc 9303에 따르는 신분증은 여권이 유일하다."
11,삼라만상,고사성어,"넓게 펴져 있는 숲(삼라)처럼 온갖 사물들이 빼곡히 퍼져있는(만상) 것이다. 동의어로는 만휘군상(萬彙群象)이 있다. 쉽게 말하자면 모든 만물들이 있는 상황을 나타내며, 더 나아가면 모든 것(현상, 진리, 세계, 우주)을 나타낸다. 영어로 나타내자면 ""All""과 의미가 비슷하면서 한편으론 조금 다르다.  그와 동시에, 삼라만상은 우주 안에 있는 온갖 사물과 현상을 뜻한다고 한다. "
12,그림멜,드래곤 길들이기 시리즈/등장인물,드래곤 길들이기 3의 메인 빌런.  더빙판에서는 그리멜로 이름이 바뀌었다.
13,서배너 바나나스,미국의 야구단,"미국 조지아 주 서배너에 위치한 야구팀. 2016년에 창단되었으며, 서배너에 위치한 그레이슨 스타디움을 홈겸기장으로 삼고 있다. 2022년까지 대학 여름 야구 리그인 코스탈 플레인 리그(CPL) 서부 디비전에서 경쟁하였고, 2016년, 2021년, 2022년에 페티트 컵 챔피언십에서 세 번 우승한 전력이 있다.엔터테인먼트 요소가 강한 형식의 경기를 바나나 볼(Banana Ball)이라 이름 붙이고 팬서비스처럼 해왔는데, 이 것이 상업적으로 더 성공하면서 2023년부터 야구 리그에 참여하지 않고 전미 순회 경기를 하고 있다. 당연하지만 스포츠 경기를 혼자서는 할 수 없기 때문에, 파티 애니멀즈(Party Animals)와 파이어파이터즈(Firefighters)라는 추가 경쟁 팀을 결성하여 투어링을 하고 있다. 팀은 틱톡에서 760만 명 이상의 팔로워를 보유하고 있으며, 이는 어떤 MLB 팀보다도 많은 숫자이다."
14,홍석형,조선로동당 6기 중앙위원회 후보위원조선로동당 6기 정치국 후보위원조선로동당 6기 정치국 위원조선로동당 6기 비서국 비서북한 국가계획위원장조선로동당 계획재정부장조선로동당 함경북도 책임비서10기 최고인민회의 대의원11기 최고인민회의 상임위원회 위원12기 최고인민회의 상임위원회 위원1936년 출생서울특별시 출신 인물풍산 홍씨실향민,"북한의 정치인, 테크노크라트. 홍명희의 손자이며 홍기문의 아들이다."
15,서배너 바나나스,미국의 야구단,"미국 조지아 주 서배너에 위치한 야구팀. 2016년에 창단되었으며, 서배너에 위치한 그레이슨 스타디움을 홈겸기장으로 삼고 있다. 2022년까지 대학 여름 야구 리그인 코스탈 플레인 리그(CPL) 서부 디비전에서 경쟁하였고, 2016년, 2021년, 2022년에 페티트 컵 챔피언십에서 세 번 우승한 전력이 있다.엔터테인먼트 요소가 강한 형식의 경기를 바나나 볼(Banana Ball)이라 이름 붙이고 팬서비스처럼 해왔는데, 이 것이 상업적으로 더 성공하면서 2023년부터 야구 리그에 참여하지 않고 전미 순회 경기를 하고 있다. 당연하지만 스포츠 경기를 혼자서는 할 수 없기 때문에, 파티 애니멀즈(Party Animals)와 파이어파이터즈(Firefighters)라는 추가 경쟁 팀을 결성하여 투어링을 하고 있다. 팀은 틱톡에서 760만 명 이상의 팔로워를 보유하고 있으며, 이는 어떤 MLB 팀보다도 많은 숫자이다."
16,Cody・Lee(李),일본의 록밴드4인조 음악 그룹,"일본의 4인조 록밴드이다.2018년 대학 친구끼리 결성했다.[1] 2020년 싱어송라이터로 활동하던 오자키 리노가 정식 가입하며 자주 레이블 ""sakuramachi records""를 시작했고, 1st Full Album 生活のニュース[2][3] 를 발매했다.1집 수록곡인 我愛你의 MV가 유튜브 알고리즘을 타면서 유명해졌다.[4]2021년에 들어, Spotify 바이럴 차트 TOP10에 들어가는 등 밴드로서의 기세가 증가하고 있다.2022년 5월 25일,Ki/oon Music에서「心拍数とラヴレター、それと優しさ」[5] 앨범으로 메이저 데뷔가 결정 되었다.인스타그램 유튜브 트위터 홈페이지2024년 3월 29일 유튜브 라이브에서 生活のニュース 이후 두번째 정규 앨범 발매 소식을 전했다. 6월 발매 예정."
17,도멘아도니스,농업,"지중해 남부의 숨겨진 보물과 같은 아름다운 올리브의 나라 튀니지 북서쪽 Testour 해발 700m 사람들이 발길이 닿지 않는 청정한 무공 자연환경을 자랑하는 도멘아도니스 올리브농장.[1]도멘아도니스는 도멘Domaine은 프랑스어로 농업, 아도니스는 Adonis는 그리스 신화의 [아도니스]를 상징하며 농업의 신이라는 뜻을 가지고 있다. 아도니스는 [아프로디테]와 페르세포네의 사랑을 받은 신으로 죽음과 부활을 상징하며, 셈어로는 군주, 주인이라는 뜻을 가지고 있으며 히브리어로는 나의 신을 의미한다. 힘들었던 역사 속에서 올리브나무는 튀니지인들에게 아낌없이 주는 나무이자 삶의 동반자를 의미하며 튀니지 그 자체이다."
18,브롤스타즈/팁/브롤러 별 티어,브롤스타즈,"브롤스타즈의 브롤러 별 성능과 입지를 주관적으로 정리한 문서이다.브롤스타즈에서는 각기 다른 브롤러를 선택하여 게임에 임하게 된다. 때문에 게임의 밸런스를 위해서는 각 브롤러의 성능이 어느 정도 동등하거나 상성 등이 존재하여 어떤 브롤러든 성능이 일정하게 유지되어야 한다. 그러나 성능이 지나치게 좋거나 떨어지는 브롤러가 존재하여, 강력한 브롤러가 특정 모드 혹은 특별 이벤트를 제외한 대부분의 모드[2]에서 범용성이 높거나 좋은 일반/특수 공격, 스타 파워, 가젯 등을 가져 압도적인 모습을 보여준다. 반대로 성능이 떨어지는 브롤러들의 경우 특정 모드 혹은 모든 모드에서 좋지 못한 모습을 보이며, 높은 난이도, 많은 카운터, 저열한 성능 등의 이유로 인해 픽률이 낮고 해당 브롤러가 있는 팀이 불리해지는 경향이 있다.[3][4]"
19,술식(주술회전),술식(주술회전),장인[1]주술회전에서 나오는 가공의 능력.
20,NewJeans/논란 및 사건 사고,NewJeans대한민국의 아이돌 사건 사고,걸그룹 NewJeans의 논란 및 사건 사고를 기록하는 문서.
21,지창욱,한국 남배우한국 남가수배우 출신 가수뮤지컬 남배우한국의 드라마 배우한국의 뮤지컬 배우1987년 출생2008년 데뷔안양시 출신 인물충주 지씨신성고등학교 출신단국대학교 출신육군 출신,대한민국의 배우.
22,유빈/골 때리는 그녀들,유빈FC 탑걸,단단한 피지컬을 가진 FC탑걸의 보물! 압박 수비 능력과 공격 능력까지 겸비한 믿고 보는 팀 내 에이스!유빈의 골 때리는 그녀들의 행적을 정리한 문서이다.
